StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,IC_2,Q22_First_Click,Q22_Last_Click,Q22_Page_Submit,Q22_Click_Count,Compet_1,Compet_2,Compet_3,Compet_4,Compet_5,Compet_6,Compet_7,Compet_8,Compet_9,Compet_10,Compet_11,Compet_12,Compet_13,Compet_14,Compet_15,Warm_Wom_1,Warm_Pol_1,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,Age_1,GenID,GenID_3_TEXT,Race,PolLean_1,PartyID,PartyID_3_TEXT,Edu,US,SDO5r,SDO6r,SDO7r,SDO8r,SDO13r,SDO14r,SDO15r,SDO16r,SDO_M,masculine_mean,feminine_mean,Neutral_mean,competency_mean
10/20/2017 15:50:26,10/20/2017 15:52:55,0,98.224.227.109,100,148,1,10/20/2017 15:52:55,R_3Q03u2YpggwTrnC, , , , ,42.148193359375,-83.814796447754,anonymous,EN,1,4.496,9.587,11.883,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,12,7,7,7,7,1,1,7,7,7,7,7,7,1,1,1,1,20,1, ,2,1,1, ,3,1,7,7,1,1,7,7,7,7,6.25,1,1,1,1
10/20/2017 16:05:09,10/20/2017 16:08:21,0,98.224.227.109,100,191,1,10/20/2017 16:08:21,R_240l4zaEElfMDNT, , , , ,42.148193359375,-83.814796447754,anonymous,EN,1,2.584,4.129,18.624,4,7,7,4,4,7,6,6, ,7,7,7,7,7,7,7,80,14,1,1,1,1,7,7,7,7,1,1,1,1,7,6,7,7, ,1, ,1,2,1, ,5,1,1,1,1,1,1,2,1,1,1.0625,6.4,6.5,6.4,6.42857142857143
10/20/2017 16:27:01,10/20/2017 16:31:55,0,98.224.227.109,100,293,1,10/20/2017 16:31:55,R_2zCut9Ep5cXaHua, , , , ,42.148193359375,-83.814796447754,anonymous,EN,1,6.564,9.271,18.777,11,4, , , , , , , , , , , , , , , , ,1,1,1,1,7, , , , , , , , , , , ,20,2, ,1,2,4, ,3,1,1, , , , , , , ,1,4, , ,4
10/20/2017 16:28:26,10/20/2017 16:35:41,0,98.224.227.109,100,435,1,10/20/2017 16:35:42,R_12KfDUW8NKvPbC7, , , , ,42.148193359375,-83.814796447754,anonymous,EN,1,0,0,19.492,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,69,96,1,4,4,1,4,4,7,4,1,1,1,1,7,7,7,7,20,2, ,7,2,1, ,3,1,4,4,1,4,1,1,1,1,1.9375,7,7,7,7
10/20/2017 16:44:12,10/20/2017 16:47:37,0,68.40.26.163,100,205,1,10/20/2017 16:47:38,R_3pngNtC36oyfKjr, , , , ,42.148193359375,-83.814796447754,anonymous,EN,1,0,0,12.971,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,50,30,1,1,1,1,7,7,7,7,1,1,1,2,7,7,6,7,20,2, ,1,2, , ,3,1,1,1,1,1,1,1,2,1,1.125,4,4,4,4
10/20/2017 17:57:55,10/20/2017 18:02:54,0,98.224.227.109,100,299,1,10/20/2017 18:02:55,R_2dumRNqbNpfauU7, , , , ,42.148193359375,-83.814796447754,anonymous,EN,1,3.273,7.426,16.043,3,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,92,70,1,1,1,1,7,7,7,4,1,1,7,1,7,7,7,7,19,2, ,1,3,1, ,3,1,1,1,1,4,1,1,1,1,1.5625,6.8,6.8,6.8,6.8
10/20/2017 19:35:52,10/20/2017 19:42:57,0,99.48.204.37,100,425,1,10/20/2017 19:42:58,R_2ZNPfcKtmWWIWRu, , , , ,42.953598022461,-85.657600402832,anonymous,EN,1,14.409,14.409,14.937,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,100,20,1,1,3,1,7,7,7,6,1,1,1,1,7,7,7,7, ,2, ,1,4,4, ,6,1,1,1,1,2,1,1,1,1,1.1875,6,6,6,6
10/20/2017 20:03:21,10/20/2017 20:12:16,0,107.216.127.41,100,534,1,10/20/2017 20:12:16,R_2OTqshclfODV3tG, , , , ,43.118804931641,-85.494300842285,anonymous,EN,1,3.205,3.205,27.092,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,100,1,1,1,1,7,7,1,7,1,1,1,4,7,4,1,4,51,1, ,1,5,3, Independent,5,1,1,1,7,1,1,4,7,4,2.3125,4,4,4,4
10/20/2017 23:06:28,10/20/2017 23:09:45,0,99.203.65.86,100,196,1,10/20/2017 23:09:45,R_RgkJmJ1MxT41Vwl, , , , ,42.331405639648,-83.045700073242,anonymous,EN,1,2.257,10.941,11.893,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,25,4,5,6,7,1,1,7,1,7,7,7,7,1,1,1,1,24,2, ,2,3,1, ,5,1,7,7,1,7,7,7,7,7,6.25,1,1,1,1
10/21/2017 9:21:36,10/21/2017 9:26:53,0,98.224.227.109,100,316,1,10/21/2017 9:26:53,R_3DkjBL5pBc9ENwi, , , , ,42.148193359375,-83.814796447754,anonymous,EN,1,0,0,37.788,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,100,0,1,1,1,1,7,7,7,7,1,1,1,2,7,7,7,7,19,2, ,1,2,1, ,3,1,1,1,1,1,1,1,1,1,1.0625,6,6,6,6
10/21/2017 10:11:03,10/21/2017 10:17:17,0,98.224.227.109,100,374,1,10/21/2017 10:17:18,R_2y1TVpJfp8ioYrF, , , , ,42.148193359375,-83.814796447754,anonymous,EN,1,10.195,10.195,12.456,1,4,6,5, ,6,6,6,4,6,4,4,4,4,4,6,73,1,1,1,2,2,7,4,6,6,1,2,2,2,6,4,4,5,21,1, ,1,2,1, ,3,1,1,4,2,2,2,4,4,3,2.1875,4.5,5.6,4.6,4.92857142857143
10/21/2017 20:51:01,10/21/2017 20:58:46,0,107.216.127.41,100,464,1,10/21/2017 20:58:46,R_RtuerDd2JYh7u5b, , , , ,43.118804931641,-85.494300842285,anonymous,EN,1,17.948,17.948,25.535,1, , , , , , , , , , , , , , , ,81,46,1,1,1,1,1,7,7,6,1,1,1,4,7,7,7,7,49,2, ,1,6, , ,5,1,7,1,1,2,1,1,1,1,1.625, , , , 
10/23/2017 11:03:20,10/23/2017 11:08:28,0,68.49.115.73,100,307,1,10/23/2017 11:08:28,R_xr8FasRpNLffzCV, , , , ,42.915603637695,-85.846397399902,anonymous,EN,1,7.791,9.253,17.815,3,5,6,3,4,5,4,4,6,4,5,6,6,3,3,5,100,50,1,1,1,1,7,7,7,7,1,1,4,2,7,6,7,7,21,1, ,1,2,4, ,5,1,1,1,1,1,1,2,1,1,1.3125,4,5,4.8,4.6
10/25/2017 1:10:28,10/25/2017 1:17:31,0,98.224.224.68,100,423,1,10/25/2017 1:17:32,R_2VehUCw29IWIUt6, , , , ,42.273406982422,-83.713302612305,anonymous,EN,1,0,0,59.984,0,4,6,3,3,5,6,5,3,5,6,4,3,2,3,6,100,0,1,1,1,1,4,7,7,7,1,1,4,1,7,7,7,7,19,2, ,1,2,1, ,3,1,4,1,1,1,1,1,1,1,1.375,3.4,5.2,4.2,4.26666666666667
10/20/2017 13:38:19,10/20/2017 13:43:39,0,68.40.26.163,25,320,0,10/27/2017 13:59:37,R_1JRwT7RudzzNKsm, , , , , , ,anonymous,EN,1,4.592,10.394,22.555,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 13:52:30,10/20/2017 13:53:17,0,107.77.215.33,25,47,0,10/27/2017 14:03:42,R_ba5egLDiJD5wwlb, , , , , , ,anonymous,EN,1,2.136,14.66,14.82,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 13:53:55,10/20/2017 13:54:35,0,69.176.143.132,25,39,0,10/27/2017 14:03:55,R_3KoyHdMARvWWktZ, , , , , , ,anonymous,EN,1,13.53,13.53,19.088,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 13:49:02,10/20/2017 13:49:41,0,35.1.168.96,25,39,0,10/27/2017 14:08:06,R_2a8iqMZBLxQ0Dr3, , , , , , ,anonymous,EN,1,0,0,12.72,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 13:58:59,10/20/2017 13:59:25,0,68.43.61.200,25,25,0,10/27/2017 14:09:14,R_2fkYHEuyo2EIVoT, , , , , , ,anonymous,EN,1,9.089,9.089,10.97,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 14:11:32,10/20/2017 14:12:12,0,35.2.127.21,25,40,0,10/27/2017 14:19:51,R_2ckds0THCIgzKyJ, , , , , , ,anonymous,EN,1,8.563,8.563,21.236,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 14:17:49,10/20/2017 14:18:05,0,199.192.183.1,13,15,0,10/27/2017 14:26:24,R_3R9Mh06ZuPrVTQh, , , , , , ,anonymous,EN,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 14:10:27,10/20/2017 14:10:42,0,35.2.175.110,25,15,0,10/27/2017 14:34:17,R_2uqBAURt8ceg4ag, , , , , , ,anonymous,EN,1,10.063,10.063,11.144,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 14:24:33,10/20/2017 14:26:03,0,35.3.41.179,44,90,0,10/27/2017 14:47:25,R_2D6U99zd3KEzABr, , , , , , ,anonymous,EN,1,0,0,17.318,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,69,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1
10/20/2017 14:44:08,10/20/2017 14:44:30,0,68.61.5.55,25,22,0,10/27/2017 14:48:58,R_8j0r8SoQeUzI67T, , , , , , ,anonymous,EN,1,3.39,10.491,11.08,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 14:44:47,10/20/2017 14:45:51,0,24.231.255.101,25,63,0,10/27/2017 14:48:59,R_77ltbnwcxyqwe1X, , , , , , ,anonymous,EN,1,15.177,15.177,15.947,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 14:56:21,10/20/2017 14:57:06,0,50.4.23.236,25,44,0,10/27/2017 14:57:15,R_2dscbCp3KUbcC2S, , , , , , ,anonymous,EN,1,0,0,23.846,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 15:01:44,10/20/2017 15:02:43,0,68.40.26.163,25,59,0,10/27/2017 15:03:19,R_2R4l5XE6TTWe2Jw, , , , , , ,anonymous,EN,1,.864,11.215,13.141,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 15:06:24,10/20/2017 15:30:45,0,98.224.227.109,25,1460,0,10/27/2017 15:30:49,R_1JCk3BvWV0uNWtk, , , , , , ,anonymous,EN,1,4.375,10.789,22.229,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 15:30:47,10/20/2017 15:40:23,0,204.38.4.81,44,576,0,10/27/2017 15:40:38,R_3PZfwqHST56F2bj, , , , , , ,anonymous,EN,1,3.674,21.551,22.614,2, , , , , , , , , , , , , , , ,85,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 14:22:49,10/20/2017 15:45:52,0,68.40.26.163,38,4982,0,10/27/2017 15:46:25,R_1BXkgQCVkFHtPWd, , , , , , ,anonymous,EN,1,4.163,20.896,26.297,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 15:47:03,10/20/2017 15:47:22,0,47.35.77.185,25,18,0,10/27/2017 15:48:01,R_2S60PvlCWW9Tndx, , , , , , ,anonymous,EN,1,8.063,9.42,12.329,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 16:42:36,10/20/2017 16:42:52,0,73.254.69.31,25,16,0,10/27/2017 16:43:08,R_2ZC8Jg9cc7AygUL, , , , , , ,anonymous,EN,1,2.788,10.322,10.926,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 16:42:10,10/20/2017 16:43:31,0,24.247.105.173,25,80,0,10/27/2017 16:43:36,R_11WPqRFS8kuqFhu, , , , , , ,anonymous,EN,1,5.704,14.882,30.028,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 17:20:55,10/20/2017 17:21:27,0,98.224.227.109,31,31,0,10/27/2017 17:22:11,R_2uDO6pTo5QrzMDN, , , , , , ,anonymous,EN,1,4.846,5.43,17.361,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 18:15:16,10/20/2017 18:16:06,0,24.180.127.236,25,50,0,10/27/2017 18:16:13,R_4HoT2K0NaJ7YSTT, , , , , , ,anonymous,EN,1,4.364,8.916,13.574,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 18:47:38,10/20/2017 18:47:58,0,107.5.155.208,25,20,0,10/27/2017 18:48:02,R_1C44TRFBHwObDsK, , , , , , ,anonymous,EN,1,1.511,6.311,11.466,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 19:36:44,10/20/2017 19:37:31,0,107.77.226.131,25,47,0,10/27/2017 19:37:40,R_1lav9luiGw8a7DO, , , , , , ,anonymous,EN,1,2.245,9.076,14.469,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 20:07:42,10/20/2017 20:08:32,0,172.91.229.193,25,49,0,10/27/2017 20:08:33,R_3Hw3EM8IKYJZ9Y6, , , , , , ,anonymous,EN,1,1.523,2.306,13.632,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 19:58:28,10/20/2017 20:08:59,0,35.2.34.77,44,631,0,10/27/2017 20:09:18,R_2saHmnW7i8ngTF9, , , , , , ,anonymous,EN,1,0,0,22.346,0,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.2,4,4,4.06666666666667
10/20/2017 20:56:25,10/20/2017 20:57:06,0,70.210.77.139,25,41,0,10/27/2017 20:57:11,R_2upSLIIiPBo5GD8, , , , , , ,anonymous,EN,1,15.1,15.1,18.426,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 21:49:29,10/20/2017 21:55:53,0,75.129.70.188,94,384,0,10/27/2017 21:56:02,R_2YKAHx71ZPeg6W8, , , , , , ,anonymous,EN,1,15.2,15.2,15.846,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,85,1,1,1,1,7,7,7,7,1,1,1,7,1,7,7,7,54,2, ,1,7,4, ,2,1,1,1,1,1,7,1,1,1,1.75,4,4,4,4
10/20/2017 22:06:59,10/20/2017 22:08:24,0,99.203.1.209,25,85,0,10/27/2017 22:08:59,R_2qygQSuh1Kh0Swj, , , , , , ,anonymous,EN,1,0,0,17.373,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/21/2017 1:23:46,10/21/2017 1:26:14,0,68.48.229.155,44,147,0,10/28/2017 1:26:34,R_3Pz2Afl1s099f6y, , , , , , ,anonymous,EN,1,1.118,10.051,10.656,4,7,7,6,7,1,2,2,2,5,1,1,1,1,1,7,100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.4,4,2.8,3.4
10/21/2017 3:08:40,10/21/2017 3:10:07,0,88.217.181.210,25,86,0,10/28/2017 3:10:10,R_3HZxL3XGNmWO9am, , , , , , ,anonymous,EN,1,1.466,12.195,12.227,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/21/2017 8:31:30,10/21/2017 8:32:14,0,108.239.55.89,25,44,0,10/28/2017 8:33:00,R_3M5X49MfBHY5Z0W, , , , , , ,anonymous,EN,1,0,0,15.094,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/20/2017 22:13:18,10/21/2017 9:08:06,0,35.1.173.214,94,39288,0,10/28/2017 9:08:36,R_3NyLmZ2lpvjVMiS, , , , , , ,anonymous,EN,1,3.849,13.28,14.153,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , , , , , , , , , , 
10/21/2017 18:23:38,10/21/2017 18:24:43,0,96.94.149.157,25,65,0,10/28/2017 18:25:26,R_0rHOoIS5J6k2Fah, , , , , , ,anonymous,EN,1,5.115,6.002,11.452,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11/2/2017 12:07:47,11/2/2017 12:09:45,0,174.230.137.227,100,117,1,11/2/2017 12:09:45,R_bPkvWIBTM045zln, , , , ,37.751007080078,-97.821998596191,anonymous,EN,1,2.853,9.782,11.176,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,1, ,1,3,3,Libertarian,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4
11/2/2017 12:08:26,11/2/2017 12:10:40,0,35.20.3.24,100,134,1,11/2/2017 12:10:41,R_7X5rGnq6F9PoG0p, , , , ,42.728302001953,-84.48819732666,anonymous,EN,1,6.838,10.069,11.158,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,82,55,5,4,5,3,5,4,4,4,4,4,4,4,4,4,4,4,18,1, ,1,6,2, ,2,1,3,4,4,4,4,4,4,4,4,5,5,5,5
11/2/2017 12:08:52,11/2/2017 12:15:30,0,35.11.176.187,100,397,1,11/2/2017 12:15:30,R_2atdCKKQ2ec0zX2, , , , ,42.728302001953,-84.48819732666,anonymous,EN,1,1.484,1.484,20.485,1,6,5,4,4,4,4,5,6,4,5,6,6,4,4,5,100,50,4,3,5,1,6,5,5,4,1,2,1,3,5,6,4,6,18,1, ,1,2,4, ,3,1,2,3,3,4,3,2,4,2,2.6875,4.4,5,5,4.8
